Hotel Taylor,159,10th arr.,1 miles,8.5,Very good,NA,1779
Hotel Le Petit Chomel,289,7th arr.,1.2 miles,9.2,Superb,9.6,916
Lord Byron,200,8th arr.,2.5 miles,8.9,Fabulous,9.6,174
Appartement Pont Neuf à Paris,NA,3rd arr.,Metro access,8,Very good,NA,169
Hôtel Avama Prony,143,17th arr.,3.1 miles,8.8,Fabulous,NA,161
Hôtel Barrière Le Fouquet's,690,8th arr.,2.5 miles,9.2,Superb,9.7,177
Hôtel Comete Paris,143,20th arr.,2.6 miles,9.2,Superb,NA,555
Stella Etoile,145,17th arr.,3 miles,8.2,Very good,9.3,1470
Hotel Joke - Astotel,146,9th arr.,2 miles,9.2,Superb,9.3,629
Hotel Eugène en Ville,182,9th arr.,1.4 miles,8.6,Fabulous,NA,815
Architect Flat St Germain/Luxembourg,NA,5th arr.,,7.2,Good,NA,8
Les Boulevards Hotel et Studio,173,2nd arr.,0.9 miles,9.2,Superb,9.3,129
Floride-Etoile,139,16th arr.,3 miles,8.6,Fabulous,9.3,880
Hotel de Seze,220,9th arr.,1.5 miles,9.2,Superb,9.7,368
Hotel Opéra d'Antin,139,9th arr.,1.5 miles,8,Very good,9.3,548
TOUR EIFFEL JAVEL,166,15th arr.,3.1 miles,7.4,Good,NA,17
Hôtel Les Deux Girafes,230,11th arr.,1.2 miles,9.2,Superb,NA,468
Charming Flat in Paris,NA,2nd arr.,Metro access,8.4,Very good,9.3,16
Hotel Opéra Richepanse,311,1st arr.,1.5 miles,9.2,Superb,9.7,880
Le Glam's Hotel,109,14th arr.,2.5 miles,8.2,Very good,NA,1288
Hotel Bowmann,390,8th arr.,2 miles,9.2,Superb,NA,264
Hotel Jenner,106,13th arr.,1.6 miles,8.2,Very good,NA,635
Hôtel La Nouvelle République,167,11th arr.,1.5 miles,9.1,Superb,NA,1781
BE YOU LUXURY APART'HÔTEL - LA CULOTTÉ,210,18th arr.,2.1 miles,9.1,Superb,NA,54
Hôtel La Nouvelle République,167,11th arr.,1.5 miles,9.1,Superb,NA,1782
Tinah Paris,NA,2nd arr.,Metro access,9.3,Superb,9.7,135
Hotel Bastille,110,11th arr.,0.9 miles,7.6,Good,NA,824
Hotel Maison FL,212,16th arr.,3.1 miles,8.9,Fabulous,9.4,724
"Shangri-La Hotel, Paris","1,087",16th arr.,2.7 miles,9.1,Superb,9.3,191
Hôtel Diva Opera,121,9th arr.,1.2 miles,8.2,Very good,NA,1205
Le Burgundy Paris,690,1st arr.,1.4 miles,9.1,Superb,9.7,671
Le Belleval,190,8th arr.,1.9 miles,9,Superb,9.3,908
Novotel Paris Centre Bercy,NA,12th arr.,Metro access,8.6,Fabulous,NA,3106
Le Général Hôtel,209,11th arr.,1 miles,9.1,Superb,NA,824
Le Relais Médicis,189,6th arr.,0.7 miles,8.4,Very good,9.4,291
Les Jardins du Faubourg Paris,450,8th arr.,1.7 miles,9.1,Superb,9.3,130
Lovely Flat In Montmartre,195,18th arr.,2.5 miles,9.1,Superb,NA,64
Hôtel La Parizienne by Elegancia,143,6th arr.,1.6 miles,8,Very good,NA,646
Art Hotel Eiffel,160,15th arr.,2.5 miles,8.3,Very good,9.3,765
Dreamyflat residence,NA,2nd arr.,Metro access,7.9,Good,NA,126
Hôtel Montecristo,293,5th arr.,1.3 miles,9.1,Superb,NA,573
Hôtel Novanox,147,6th arr.,1.4 miles,8,Very good,NA,767
La Maison Gobert B&B,170,11th arr.,1.4 miles,9.1,Superb,NA,314
Hôtel Square Louvois,311,2nd arr.,1.1 miles,9.1,Superb,9.4,597
Hôtel De Fleurie,199,6th arr.,0.7 miles,8.2,Very good,NA,599
Le Patio Bastille,149,11th arr.,1.9 miles,8.1,Very good,NA,1052
THE RESIDENCE - LUXURY APARTMENTS PARIS CENTER 1 & 2,NA,10th arr.,Metro access,8.8,Fabulous,NA,78
Hôtel Adèle & Jules,282,9th arr.,1.1 miles,9.1,Superb,9.3,682
My Home In Paris,188,11th arr.,1 miles,9.1,Superb,9.4,509
Hotel Terre Neuve,99,20th arr.,2.1 miles,8.4,Very good,NA,727
Hôtel Vic Eiffel,134,15th arr.,2.1 miles,9.1,Superb,NA,838
Terminus Orléans,88,14th arr.,2.6 miles,8.6,Fabulous,NA,2167
Terminus Orléans,88,14th arr.,2.6 miles,8.6,Fabulous,NA,2167
